State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount
VT,Chittenden County Transportation Authority (CCTA),1066,B,VP,PT,3,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
WA,Ben Franklin Transit (BFT),0018,B,DR,FT,92,"130,287","19,701","6,093","17,993","174,074",0,79.0 ,10.0 ,3.0 ,9.0 ,101.0 ,0.0 
WA,Ben Franklin Transit (BFT),0018,B,DR,PT,92,"8,726",0,0,0,"8,726",0,13.0 ,0.0 ,0.0 ,0.0 ,13.0 ,0.0 
WA,Ben Franklin Transit (BFT),0018,B,MB,FT,62,"189,318","23,411","7,241","21,382","241,352",0,99.0 ,12.0 ,4.0 ,11.0 ,126.0 ,0.0 
WA,Ben Franklin Transit (BFT),0018,B,MB,PT,62,"11,092",0,0,0,"11,092",0,13.0 ,0.0 ,0.0 ,0.0 ,13.0 ,0.0 
WA,Ben Franklin Transit (BFT),0018,B,VP,FT,225,"7,323","3,651","1,093","3,227","15,294",0,4.0 ,2.1 ,0.7 ,2.2 ,9.0 ,0.0 
WA,Ben Franklin Transit (BFT),0018,B,VP,PT,225,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
WA,Central Puget Sound Regional Transit Authority (ST),0040,B,LR,FT,2,"19,235","3,228","2,606","3,305","28,374",0,11.0 ,1.7 ,1.3 ,2.0 ,16.0 ,0.0 
WA,Central Puget Sound Regional Transit Authority (ST),0040,B,LR,PT,2,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
WA,Clark County Public Transportation Benefit Area Authority (C-Tran),0024,A,DR,FT,43,"76,101","7,765",376,"1,605","85,847",0,42.0 ,4.8 ,0.2 ,0.9 ,47.9 ,0.0 
WA,Clark County Public Transportation Benefit Area Authority (C-Tran),0024,A,DR,PT,43,"28,110",922,0,0,"29,032",0,20.0 ,1.0 ,0.0 ,0.0 ,21.0 ,0.0 
WA,Clark County Public Transportation Benefit Area Authority (C-Tran),0024,A,MB,FT,77,"277,921","67,923","25,361","50,785","421,990",0,151.0 ,37.0 ,14.0 ,28.1 ,230.1 ,0.0 
WA,Clark County Public Transportation Benefit Area Authority (C-Tran),0024,A,MB,PT,77,"54,104","7,608",0,0,"61,712",0,32.0 ,5.0 ,0.0 ,0.0 ,37.0 ,0.0 
WA,Community Urban Bus Service (CUBS),0016,B,MB,FT,5,"17,890",0,0,"7,280","25,170",0,9.0 ,0.0 ,0.0 ,4.0 ,13.0 ,0.0 
WA,Community Urban Bus Service (CUBS),0016,B,MB,PT,5,"3,558",0,0,0,"3,558",0,4.0 ,0.0 ,0.0 ,0.0 ,4.0 ,0.0 
WA,Everett Transit (ET),0005,A,DR,FT,15,"53,969","2,822",0,"5,242","62,033",0,34.2 ,1.7 ,0.0 ,3.6 ,39.5 ,0.0 
WA,Everett Transit (ET),0005,A,DR,PT,15,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
WA,Everett Transit (ET),0005,A,MB,FT,36,"136,510","11,618","1,816","52,372","202,316",0,72.8 ,6.3 ,2.0 ,33.4 ,114.5 ,0.0 
WA,Everett Transit (ET),0005,A,MB,PT,36,0,0,0,0,0,0,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
WA,Intercity Transit (I.T.),0019,A,DR,FT,24,"80,040","12,337","1,791","15,964","110,132",0,47.0 ,8.0 ,1.0 ,9.0 ,65.0 ,0.0 
WA,Intercity Transit (I.T.),0019,A,DR,PT,24,0,713,0,0,713,0,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 
WA,Intercity Transit (I.T.),0019,A,MB,FT,51,"231,517","41,383","8,956","50,248","332,104",0,129.0 ,25.0 ,5.0 ,27.0 ,186.0 ,0.0 
WA,Intercity Transit (I.T.),0019,A,MB,PT,51,0,"1,367",0,0,"1,367",0,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 
WA,Intercity Transit (I.T.),0019,A,VP,FT,140,"3,560","1,744",0,"1,874","7,178",0,2.0 ,1.0 ,0.0 ,1.0 ,4.0 ,0.0 
WA,Intercity Transit (I.T.),0019,A,VP,PT,140,0,469,0,0,469,0,0.0 ,1.0 ,0.0 ,0.0 ,1.0 ,0.0 
WA,King County Department of Transportation - Metro Transit Division (King County Metro),0001,B,MB,FT,1071,"2,788,703","913,294","263,416","370,788","4,336,201","179,373","1,732.4 ",555.8 ,157.9 ,210.9 ,"2,657.0 ",107.1 
