State,Agency,AgencyID,OrgType,Mode,EmployType,VOMs,vehicleOperationsHours,VehicleMaintHours,nonVehicleMaintHours,GeneralAdminHours,TotalOperatingHours,CapitalHours,VehicleOperationsCount,VehicleMaintCount,NonVehicleCount,GeneralAdminCount,TotalOperatingCount,CapitalCount,
CA,City of Riverside Special Transportation(City of Riverside),9086,City,DR,PT,24,"29,780.0",0.0,73.0,0.0,"29,853.0",0.0,17.0,0.0,0.1,0.0,17.1,0.0,
,,,,Total,,24,"54,938.0","1,386.0",73.0,"8,104.0","64,501.0",0.0,33.0,1.0,0.1,4.0,38.1,0.0,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,MB,FT,25,"97,239.0","12,522.0","1,253.0","14,199.0","125,213.0",0.0,59.5,6.4,0.7,9.2,75.8,0.0,
CA,City of Santa Rosa(Santa Rosa CityBus),9017,City,MB,PT,25,"24,575.0",0.0,0.0,0.0,"24,575.0",0.0,13.4,0.0,0.0,0.0,13.4,0.0,
,,,,Total,,25,"121,814.0","12,522.0","1,253.0","14,199.0","149,788.0",0.0,72.9,6.4,0.7,9.2,89.2,0.0,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,DR,FT,2,"3,403.0",0.0,0.0,"2,980.0","6,383.0",0.0,2.0,0.0,0.0,3.0,5.0,0.0,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,DR,PT,2,171.0,250.0,93.0,"2,146.0","2,660.0",0.0,11.0,1.0,1.0,2.0,15.0,0.0,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,MB,FT,37,"170,052.0","31,500.0","4,085.0","26,100.0","231,737.0",0.0,79.0,16.0,2.0,14.0,111.0,0.0,
CA,Culver City Municipal Bus Lines(Culver CityBus),9039,City,MB,PT,37,"6,326.0",0.0,0.0,0.0,"6,326.0",0.0,24.0,0.0,0.0,0.0,24.0,0.0,
,,,,Total,,39,"179,952.0","31,750.0","4,178.0","31,226.0","247,106.0",0.0,116.0,17.0,3.0,19.0,155.0,0.0,
CA,Fresno Area Express(FAX),9027,City,MB,FT,91,"436,654.0","98,028.0","10,874.0","51,898.0","597,454.0",0.0,243.0,57.0,5.0,26.0,331.0,0.0,
