AgencyID,Mode_Cd,Service_Cd,Kwh_Propulsion,Kwh_Charge_Batteries,Gl_Diesel_Num,Gl_Gas_Num,Gl_Lpg_Num,Gl_Lng_Num,Gl_Meth_Num,Gl_Eth_Num,Gl_Cng_Num,Gl_Bunker_Num,Gl_Kero_Num,Gl_Grain_Num,Other_Fuel_Num,Gl_Biodiesel_Num,Other_Energy_Desc,Total
8010,MB,DO,             ,             ,"73,883 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"73,883 "
8011,DR,DO,             ,             ,             ,"11,573 ",          ,          ,           ,          ,"1,622 ",             ,           ,            ,              ,                ,                                                                                                    ,"13,195 "
8011,DR,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
8011,MB,DO,             ,             ,             ,          ,          ,          ,           ,          ,"21,470 ",             ,           ,            ,              ,"180,050 ",                                                                                                    ,"201,520 "
8011,VP,PT,             ,             ,             ,          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,0 
8012,DR,DO,             ,             ,             ,"10,653 ",          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"10,653 "
8012,MB,DO,             ,             ,"121,938 ",          ,          ,          ,           ,          ,          ,             ,           ,            ,              ,                ,                                                                                                    ,"121,938 "
8013,DR,PT,             ,0 ,0 ,"38,901 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"38,901 "
8013,MB,PT,             ,0 ,"14,031 ","18,199 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"32,230 "
8014,DR,DO,             ,0 ,"34,595 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"34,595 "
8014,MB,DO,             ,0 ,"26,477 ","3,076 ",0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,0 ,                                                                                                    ,"29,553 "
