AgencyID,mode_cd,service_cd,kwh_propulsion,kwh_charge_batteries,gl_diesel_num,gl_gas_num,gl_lpg_num,gl_lng_num,gl_meth_num,gl_eth_num,gl_cng_num,gl_bunker_num,gl_kero_num,gl_grain_num,other_fuel_num,gl_biodiesel_num,Total
3034,HR,DO,"26,884,500",0,0,0,0,0,0,0,0,0,0,0,0,0,26884500
3034,LR,DO,"26,597,596",0,0,0,0,0,0,0,0,0,0,0,0,0,26597596
3034,MB,DO,0,0,"7,490,158","235,347",0,0,0,0,0,0,0,0,0,0,7725505
3035,DR,DO,0,0,640,"6,394",0,0,0,0,0,0,0,0,0,0,7034
3035,MB,DO,0,0,"130,035",0,0,0,0,0,0,0,0,0,0,0,130035
3036,MB,DO,0,0,"103,538","3,202",0,0,0,0,0,0,"114,913",0,0,0,221653
3040,MB,DO,0,0,"133,016","4,711",0,0,0,0,"11,085",0,0,0,0,0,148812
3041,DR,DO,0,0,0,"42,218",0,0,0,0,0,0,0,0,0,0,42218
3041,MB,DO,0,0,"24,339","12,130",0,0,0,0,0,0,0,0,0,0,36469
3042,DR,DO,0,0,"9,029",0,0,0,0,0,0,0,0,0,0,0,9029
3042,MB,DO,0,0,"85,663",0,0,0,0,0,0,0,0,0,0,0,85663
3050,DR,DO,0,0,"8,812","31,594",0,0,0,0,0,0,0,0,0,0,40406
3050,MB,DO,0,0,"31,601",0,0,0,0,0,0,0,0,0,0,0,31601
3051,MB,DO,0,0,"2,717,506",0,0,0,0,0,"967,772",0,0,0,0,0,3685278
3054,MB,DO,0,0,0,0,0,0,0,0,"456,587",0,0,0,0,0,456587
3055,DR,DO,0,0,"60,606",572,0,0,0,0,0,0,0,0,0,0,61178
3055,MB,DO,0,0,"24,789",0,0,0,0,0,0,0,0,0,0,0,24789
3058,MB,DO,0,0,"98,802",0,0,0,0,0,0,0,0,0,0,0,98802
3069,DR,DO,0,0,"14,605",0,0,0,0,0,0,0,0,0,0,0,14605
3069,MB,DO,0,0,"45,875",0,0,0,0,0,0,0,0,0,0,0,45875
3071,MB,DO,0,0,"425,403",0,0,0,0,0,0,0,0,0,0,0,425403
3072,DR,DO,0,0,"49,935","8,677",0,0,0,0,0,0,0,0,0,0,58612
3072,MB,DO,0,0,"165,556","4,668",0,0,0,0,0,0,0,0,0,0,170224
3074,DR,DO,0,0,"26,896","6,078",0,0,0,0,0,0,0,0,0,0,32974
3074,MB,DO,0,0,"68,893",0,0,0,0,0,0,0,0,0,0,0,68893
3075,DR,DO,0,0,"801,698",0,0,0,0,0,0,0,0,0,0,0,801698
3075,MB,DO,0,0,"1,440,212",0,0,0,0,0,0,0,0,0,0,0,1440212
3076,DR,DO,0,0,"7,644",0,0,0,0,0,0,0,0,0,0,0,7644
3076,MB,DO,0,0,"103,504",0,0,0,0,0,0,0,0,0,0,0,103504
3079,MB,DO,0,0,"87,368",0,0,0,0,0,0,0,0,0,0,0,87368
3083,MB,DO,0,"388,960","2,953,169",0,0,0,0,0,0,0,0,0,0,0,3342129
3083,VP,DO,0,0,0,"49,801",0,0,0,0,0,0,0,0,0,0,49801
3085,DR,DO,0,0,"85,939",0,0,0,0,0,0,0,0,0,0,0,85939
3087,DR,DO,0,0,"9,991","2,009",0,0,0,0,0,0,0,0,0,0,12000
3089,DR,DO,0,0,"3,802","10,267",0,0,0,0,0,0,0,0,0,0,14069
3089,MB,DO,0,0,"98,617","7,561",0,0,0,0,0,0,0,0,0,0,106178
3091,DR,DO,0,0,"5,664","2,597",0,0,0,0,0,0,0,0,0,0,8261
3091,MB,DO,0,0,"183,883",0,0,0,0,0,0,0,0,0,0,0,183883
3094,DR,DO,0,0,0,"2,056",0,0,0,0,0,0,0,0,0,"8,324",10380
3094,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"116,587",116587
3095,DR,DO,0,0,0,"49,780",0,0,0,0,0,0,0,0,0,0,49780
3095,MB,DO,0,0,"60,145",0,0,0,0,0,0,0,0,0,0,0,60145
3096,DR,DO,0,0,"94,222","3,366",0,0,0,0,0,0,0,0,0,0,97588
3096,MB,DO,0,0,"199,286",0,0,0,0,0,0,0,0,0,0,0,199286
4001,DR,DO,0,0,"52,090",0,0,0,0,0,0,0,0,0,0,0,52090
4001,IP,DO,"145,040",0,0,0,0,0,0,0,0,0,0,0,0,0,145040
4001,MB,DO,0,"272,220","462,579",0,0,0,0,0,0,0,0,0,0,0,734799
4002,DR,DO,0,0,"6,960","84,937","11,668",0,0,0,0,0,0,0,0,"1,740",Propane used by Electric Trolleys as an indirect power supply to charge the batteries.
4002,MB,DO,0,0,"492,891","8,610","117,754",0,0,0,0,0,0,0,"6,166","123,223",Propane used by Electric Trolleys as an indirect power supply to charge the batteries.
4003,DR,DO,0,0,"369,096",0,0,0,0,0,0,0,0,0,0,"40,722",
4003,LR,DO,"1,558,500",0,0,0,0,0,0,0,0,0,0,0,0,0,
4003,MB,DO,0,0,"1,908,826",0,0,0,0,0,0,0,0,0,0,0,
4004,DR,DO,0,0,"207,105",0,0,0,0,0,0,0,0,0,0,0,
4004,MB,DO,0,0,"1,049,659",0,0,0,0,0,0,0,0,0,0,0,
4005,MB,DO,0,0,"203,153",0,0,0,0,0,0,0,0,0,0,0,
4006,DR,DO,0,0,0,"1,932",0,0,0,0,0,0,0,0,0,0,
4006,MB,DO,0,0,"272,328","23,743",0,0,0,0,0,0,0,0,0,0,
4007,DR,DO,0,0,"26,641",912,0,0,0,0,0,0,0,0,0,0,
4007,MB,DO,0,0,"457,746",0,0,0,0,0,0,0,"211,278",0,0,0,
4008,DR,DO,0,0,"319,083",0,0,0,0,0,0,0,0,0,0,0,
4008,LR,DO,"147,000",0,0,0,0,0,0,0,0,0,0,0,0,0,
4008,MB,DO,0,0,"2,966,328",0,0,0,0,0,0,0,0,0,0,0,
4008,VP,DO,0,0,0,"130,727",0,0,0,0,0,0,0,0,0,0,
4009,DR,DO,0,0,0,"59,267",0,0,0,0,0,0,0,0,0,0,
4009,MB,DO,0,0,"193,771","16,236",0,0,0,0,0,0,0,0,0,0,
4011,DR,DO,0,0,0,"8,783",0,0,0,0,0,0,0,0,0,0,
4011,MB,DO,0,0,"84,026","1,653",0,0,0,0,0,0,0,0,0,0,
4012,DR,DO,0,0,"84,320","2,134",0,0,0,0,0,0,0,0,0,0,
4012,MB,DO,0,0,"432,413",0,0,0,0,0,0,0,0,0,0,0,
4014,DR,DO,0,0,"32,422","4,715",0,0,0,0,0,0,0,0,0,0,
4014,MB,DO,0,"16,547","68,124",0,"31,591",0,0,0,0,0,0,0,0,0,
4015,DR,DO,0,0,"50,873",0,0,0,0,0,0,0,0,0,0,0,
4015,MB,DO,0,0,"245,658",0,0,0,0,0,0,0,0,0,0,0,
4017,MB,DO,0,0,"371,397",0,0,0,0,0,0,0,0,0,0,0,
4018,DR,DO,0,0,"26,205",0,0,0,0,0,0,0,0,0,0,0,
