AgencyID,  mode_cd,  service_cd, kwh_propulsion,  kwh_charge_batteries,  gl_diesel_num, gl_gas_num, ec.gl_lpg_num, ec.gl_lng_num, ec.gl_meth_num, gl_eth_num,  gl_cng_num,  gl_bunker_num,  gl_kero_num, gl_grain_num,  other_fuel_num,  gl_biodiesel_num, other_energy_desc,Total
5017,MB,DO,0,0,"1,307,543",295,0,0,0,0,0,0,0,0,0,0,,"1,307,838"
5017,TB,DO,"6,802,523",0,0,0,0,0,0,0,0,0,0,0,0,0,,"6,802,523"
5019,DR,DO,0,0,"6,348",0,0,0,0,0,0,0,0,0,0,0,,"6,348"
5019,MB,DO,0,0,"42,363",0,0,0,0,0,0,0,0,0,0,0,,"42,363"
5020,DR,DO,0,0,"5,734",0,0,0,0,0,0,0,0,0,0,0,,"5,734"
5020,MB,DO,0,0,"49,945",0,0,0,0,0,0,0,0,0,0,0,,"49,945"
5021,DR,DO,0,0,"164,078","4,542",0,0,0,0,0,0,0,0,0,0,,"168,620"
5021,MB,DO,0,0,"122,772",0,0,0,0,0,0,0,0,0,0,0,,"122,772"
5022,MB,DO,0,0,"1,215,006",0,0,0,0,0,0,0,0,0,0,0,,"1,215,006"
5024,DR,DO,0,0,"22,010","6,356",0,0,0,0,0,0,0,0,0,0,,"28,366"
5024,MB,DO,0,0,"324,140",0,0,0,0,0,0,0,0,0,0,0,,"324,140"
5025,MB,DO,0,0,"408,642",0,0,0,0,0,0,0,0,0,0,0,,"408,642"
5027,LR,DO,"11,854,230",0,0,0,0,0,0,0,0,0,0,0,0,0,,"11,854,230"
5027,MB,DO,0,0,"6,078,296",0,0,0,0,0,0,0,0,0,0,"1,856,620",,"7,934,916"
5028,DR,DO,0,0,"71,373",0,0,0,0,0,0,0,0,0,0,0,,"71,373"
5028,MB,DO,0,0,"232,170",0,0,0,0,0,0,0,0,0,0,0,,"232,170"
5029,DR,DO,0,0,"67,880",0,0,0,0,0,0,0,0,0,0,0,,"67,880"
5029,MB,DO,0,0,"144,245",166,0,0,0,0,0,0,0,0,0,0,,"144,411"
5030,DR,DO,0,0,"7,437","15,093",0,0,0,0,0,0,0,0,0,0,,"22,530"
5030,MB,DO,0,0,"113,343",0,0,0,0,0,0,0,0,0,0,0,,"113,343"
5031,DR,DO,0,0,"357,461",0,0,0,0,0,0,0,0,0,0,0,,"357,461"
5031,MB,DO,0,0,"3,186,440",0,0,0,0,0,0,0,0,0,0,0,,"3,186,440"
5032,DR,DO,0,0,"358,997","28,886",0,0,0,0,0,0,0,0,0,0,,"387,883"
5032,MB,DO,0,0,"644,401",0,0,0,0,0,0,0,0,0,0,0,,"644,401"
5033,MB,DO,0,0,"831,609",0,0,0,0,0,0,0,0,0,0,0,,"831,609"
5034,DR,DO,0,0,"91,351","43,887",0,0,0,0,0,0,0,0,0,0,,"135,238"
5034,MB,DO,0,0,"33,959",0,0,0,0,0,0,0,0,0,0,0,,"33,959"
5035,DR,DO,0,0,0,794,0,0,0,0,0,0,0,0,0,0,,794
5035,MB,DO,0,0,"422,002",0,0,0,0,0,0,0,0,0,0,0,,"422,002"
5035,VP,DO,0,0,0,"1,506",0,0,0,0,0,0,0,0,0,0,,"1,506"
5036,DR,DO,0,0,"110,325",0,0,0,0,0,0,0,0,0,0,0,,"110,325"
5036,MB,DO,0,0,"831,959",0,0,0,0,0,0,0,0,0,0,0,,"831,959"
5037,DR,DO,0,0,0,0,0,0,0,0,"18,454",0,0,0,0,0,,"18,454"
5037,MB,DO,0,0,"104,346",0,0,0,0,0,0,0,0,0,0,0,,"104,346"
5039,DR,DO,0,0,"32,085","2,685",0,0,0,0,0,0,0,0,0,0,,"34,770"
5039,MB,DO,0,0,"108,025",0,0,0,0,0,0,0,0,0,0,0,,"108,025"
5040,DR,DO,0,0,"2,999",0,0,0,0,0,0,0,0,0,0,0,,"2,999"
5040,MB,DO,0,0,"694,558",0,0,0,0,0,0,0,0,0,0,0,,"694,558"
5041,DR,DO,0,0,"27,580","3,196",0,0,0,0,0,0,0,0,0,0,,"30,776"
5041,MB,DO,0,0,"41,292",0,0,0,0,0,0,0,0,0,0,0,,"41,292"
5043,DR,DO,0,0,"45,433",0,0,0,0,0,0,0,0,0,0,0,,"45,433"
5043,MB,DO,0,0,"298,795",0,0,0,0,0,0,0,0,0,0,0,,"298,795"
5044,DR,DO,0,0,"33,189","7,053",0,0,0,0,0,0,0,0,0,0,,"40,242"
5044,MB,DO,0,0,"333,500",0,0,0,0,0,0,0,0,0,0,530,,"334,030"
5045,DR,DO,0,0,"6,469","5,485",0,0,0,0,0,0,0,0,0,0,,"11,954"
5045,MB,DO,0,0,"242,560",0,0,0,0,0,0,0,0,0,0,0,,"242,560"
5047,DR,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"12,727",,"12,727"
5047,MB,DO,0,0,0,0,0,0,0,0,0,0,0,0,0,"255,755",,"255,755"
5048,DR,DO,0,0,"19,532","71,072",0,0,0,0,"3,732",0,0,0,0,0,,"94,336"
5050,DR,DO,0,0,"216,970",0,0,0,0,0,0,0,0,0,0,0,,"216,970"
5050,MB,DO,0,720,"1,506,505",0,0,0,0,0,0,0,0,0,0,0,,"1,507,225"
5051,DR,DO,0,0,"13,375",0,0,0,0,0,0,0,0,0,0,0,,"13,375"
